Summary transaction information from 2018-06-01 00:00:00 to 2018-08-31 00:00:00
Term_id Transaction_id Datetime Org_id Amount Account
55 35 2018-06-13 13:17:32 2 1321244 1310018
55 36 2018-06-13 13:17:33 20 4916952 779398
250 32 2018-06-13 13:17:34 25 5947383 501244
55 37 2018-06-13 13:17:34 24 4283223 1309507
55 38 2018-06-13 13:17:35 21 6979434 149270
304 35 2018-06-13 13:17:35 6 9660347 614796
1049 314 2018-06-13 13:17:36 2 6590471 912119
304 36 2018-06-13 13:17:36 1 6765910 1480935
304 37 2018-06-13 13:17:37 10 6660230 1180008
1049 315 2018-06-13 13:17:37 27 1093546 701453
1049 316 2018-06-13 13:17:38 11 1212529 115677
250 33 2018-06-13 13:17:38 26 7973428 873858
250 34 2018-06-13 13:17:39 23 5465626 949464
7 35 2018-06-13 13:17:39 28 5363275 901909
250 35 2018-06-13 13:17:40 29 2213342 1398415
304 38 2018-06-13 13:17:40 12 8894603 776728
304 39 2018-06-13 13:17:41 2 1955094 691948
304 40 2018-06-13 13:17:41 3 5397971 397916
1049 317 2018-06-13 13:17:42 4 5733116 225718
7 36 2018-06-13 13:17:43 27 2871819 689020
55 39 2018-06-13 13:17:43 2 3452626 1446264
7 37 2018-06-13 13:17:44 3 8936869 77719
55 40 2018-06-13 13:17:44 7 7963707 1164144
1049 318 2018-06-13 13:17:45 25 4363078 1238132
250 36 2018-06-13 13:17:45 21 6979993 203402
55 41 2018-06-13 13:17:46 1 5010583 905045
304 41 2018-06-13 13:17:46 15 6763429 875028
55 42 2018-06-13 13:17:47 27 3588229 156451
304 42 2018-06-13 13:17:47 26 1961231 744938
250 37 2018-06-13 13:17:48 9 6537756 657359
304 43 2018-06-13 13:17:48 29 6251033 1285341
304 44 2018-06-13 13:17:49 8 6390862 575095
55 43 2018-06-13 13:17:50 10 4725189 667309
304 45 2018-06-13 13:17:50 21 5070132 414554
55 44 2018-06-13 13:17:51 25 3859181 1089984
304 46 2018-06-13 13:17:52 10 1137058 1202222
250 38 2018-06-13 13:17:52 17 3959966 742929
7 38 2018-06-13 13:17:53 6 1443976 497554
250 39 2018-06-13 13:17:53 3 3431277 787897
250 40 2018-06-13 13:17:54 7 6706601 162680
55 45 2018-06-13 13:17:54 17 1681610 4166
55 46 2018-06-13 13:17:55 19 8922590 835128
304 47 2018-06-13 13:17:55 15 6108745 1287299
55 47 2018-06-13 13:17:56 17 7571637 1129564
304 48 2018-06-13 13:17:57 7 5283490 78281
304 49 2018-06-13 13:17:57 3 9565595 610704
304 50 2018-06-13 13:17:58 19 4258233 849266
250 41 2018-06-13 13:17:58 22 4909183 594902
7 40 2018-06-13 13:17:59 10 2577374 180349
304 51 2018-06-13 13:18:00 10 2525977 1399626
304 52 2018-06-13 13:18:00 10 4155829 777399
304 53 2018-06-13 13:18:01 20 3521777 227484
250 42 2018-06-13 13:18:01 23 2590319 424948
55 49 2018-06-13 13:18:02 12 7939107 1322390
7 41 2018-06-13 13:18:03 3 6180937 414281
304 54 2018-06-13 13:18:03 28 7013161 975278
7 42 2018-06-13 13:18:04 16 8567527 236201
55 50 2018-06-13 13:18:04 23 6610588 1203771
250 44 2018-06-13 13:18:05 22 8954410 1007818
1049 321 2018-06-13 13:18:05 1 9122859 1090538
55 51 2018-06-13 13:18:06 3 9956597 330594
7 43 2018-06-13 13:18:07 14 1956643 471137
304 55 2018-06-13 13:18:08 26 2810376 1240459
250 45 2018-06-13 13:18:08 21 7881153 470920
304 56 2018-06-13 13:18:09 19 9679838 1057163
7 44 2018-06-13 13:18:09 16 5109206 124258
7 45 2018-06-13 13:18:10 28 8060479 231622
250 46 2018-06-13 13:18:10 17 7738165 774680
7 46 2018-06-13 13:18:11 7 1967171 320444
250 47 2018-06-13 13:18:11 23 5736092 1254036
55 52 2018-06-13 13:18:12 25 3101139 900906
1049 324 2018-06-13 13:18:13 26 8143714 1391644
55 53 2018-06-13 13:18:13 13 5348296 1155843
55 54 2018-06-13 13:18:14 5 5216844 78636
55 55 2018-06-13 13:18:14 20 2161105 26991
55 56 2018-06-13 13:18:15 17 8172641 199000
7 47 2018-06-13 13:18:15 20 8614212 577381
55 57 2018-06-13 13:18:16 11 8736943 923869
55 58 2018-06-13 13:18:16 25 7092911 547613
7 48 2018-06-13 13:18:17 15 7705597 1232047
7 49 2018-06-13 13:18:17 24 8516455 970307
7 50 2018-06-13 13:18:18 26 2447253 1023045
250 48 2018-06-13 13:18:18 21 9579681 491635
7 51 2018-06-13 13:18:19 3 2459946 622800
55 59 2018-06-13 13:18:19 29 6830447 918258
1049 325 2018-06-13 13:18:20 26 8144009 978181
250 49 2018-06-13 13:18:20 14 1555625 1321623
1049 326 2018-06-13 13:18:21 11 8492816 524967
250 50 2018-06-13 13:18:22 21 2997077 269698
1049 328 2018-06-13 13:18:22 25 4110193 571883
250 51 2018-06-13 13:18:23 9 6558525 1232090
1049 329 2018-06-13 13:18:23 8 6637520 645392
1049 330 2018-06-13 13:18:24 20 9439455 753606
1049 331 2018-06-13 13:18:24 28 1211982 1114824
1049 332 2018-06-13 13:18:25 5 3442024 131521
7 52 2018-06-13 13:18:25 4 2309744 234918
7 53 2018-06-13 13:18:26 26 2335142 1277787
55 60 2018-06-13 13:18:26 28 7863922 407445
55 61 2018-06-13 13:18:27 28 2715800 861157
1049 333 2018-06-13 13:18:27 27 2249500 536081
1049 334 2018-06-13 13:18:28 24 7069914 1161177
1049 335 2018-06-13 13:18:29 7 5506904 659334
304 57 2018-06-13 13:18:29 8 3500653 1485077
7 54 2018-06-13 13:18:30 28 3405396 1438325
1049 336 2018-06-13 13:18:30 30 6754688 527050
7 55 2018-06-13 13:18:31 6 9018270 61240
55 62 2018-06-13 13:18:31 18 7921958 592772
250 52 2018-06-13 13:18:32 2 9082573 966777
55 63 2018-06-13 13:18:32 17 4285847 1141831
7 56 2018-06-13 13:18:33 5 4945895 778791
250 53 2018-06-13 13:18:33 9 7831245 193256
250 54 2018-06-13 13:18:34 15 8805242 183999
250 55 2018-06-13 13:18:34 29 8848180 50675
55 64 2018-06-13 13:18:35 24 4365331 832183
7 57 2018-06-13 13:18:35 20 8688713 257318
55 65 2018-06-13 13:18:36 12 1072286 1219289
304 58 2018-06-13 13:18:37 30 4458559 1439193
55 67 2018-06-13 13:18:37 10 1747134 186037
55 68 2018-06-13 13:18:38 1 6286602 144866
7 58 2018-06-13 13:18:38 24 8154253 492795
7 59 2018-06-13 13:18:39 21 1408436 1341239
250 56 2018-06-13 13:18:39 22 2464827 149108
1049 337 2018-06-13 13:18:40 19 8965037 1258499
7 60 2018-06-13 13:18:41 27 2767572 476754
7 61 2018-06-13 13:18:42 15 1582262 687537
1049 338 2018-06-13 13:18:42 5 8773305 290547
304 60 2018-06-13 13:18:43 7 5943871 145255
250 57 2018-06-13 13:18:43 16 1320682 238343
304 61 2018-06-13 13:18:44 9 4760233 852620
7 62 2018-06-13 13:18:44 28 3641457 806003
55 70 2018-06-13 13:18:45 23 6983893 136338
1049 339 2018-06-13 13:18:45 7 2770702 1418250
1049 340 2018-06-13 13:18:46 25 6398149 649261
304 62 2018-06-13 13:18:46 29 2424803 928672
55 71 2018-06-13 13:18:47 19 7475818 262391
55 72 2018-06-13 13:18:47 29 4311240 331296
250 58 2018-06-13 13:18:48 16 9335397 1083329
250 59 2018-06-13 13:18:48 10 5942210 1111633
304 63 2018-06-13 13:18:49 21 7138494 1029399
304 64 2018-06-13 13:18:49 26 6282019 544207
304 65 2018-06-13 13:18:50 27 5112577 665561
